video_info_title,video_info_link,video_info_keywords,video_info_views,video_info_thumbnails,video_info_author,video_info_channelId,video_info_publish_date,video_info_description,video_info_summary_data
강아지들한테 디즈니 필터 씌웠는데 점점 이상함 #shorts,/watch?v=EXnD6h5pbLk,,64081,https://i.ytimg.com/vi/EXnD6h5pbLk/hqdefault.jpg,보더로운생활Border Collie Triplets,UCjLDL_hX8XrwSRMUba-39Fw,2021-08-09,,디즈니 강아지들한테
여우는 정말 바보일까요? 뇌맑은 강아지 여우 ㅋㅋㅋ,/watch?v=sP0K57xgFaQ,시바|시바견|시바견 곰이|시바견 탱이|곰탱이|곰이|탱이|shiba|shibainu|shibadog|pet|dog|댕댕이|귀여운댕댕이|강아지|dogs|귀여운|귀여운강아지|힐링|강아지힐링|힐링영상|블랙탄|blacktan|반려견|반려동물|socute|cute|일상|브이로그|vlog|펫튜브|아기와 시바견|웃긴행동|귀여운행동|엉뚱한행동|엉뚱한 강아지|귀여운 아기와 강아지|아기와 강아지|여우와 솜이|솜솜이|아기|솜이|귀여운 아기|뇌맑은 여우|순수한 강아지|여우|시바견 여우,62042,https://i.ytimg.com/vi/sP0K57xgFaQ/sddefault.jpg,시바견 곰이탱이여우,UCX2laRqGQhqoChYmlaUgOiw,2021-08-10,"Artist : 오늘의 일기
Title : 퐁실퐁실 핫케이크
Link : https://youtu.be/wsQoSPEC-cw

Title : 엉덩이를 씰룩씰룩
Link : https://youtu.be/3rfVo9-AjO0

Title : 
한여름밤의 산책
청소를 해요
시원한 도서관
달그락 차이티라떼
고양이의 하루
Link : https://youtu.be/Sail0squu4Y

----------------------------------------------------------------------

시바견 곰이탱이 구독해주시바!
구독하기 : https://www.youtube.com/c/시바견곰이탱이?sub_confirmation=1

  이름 : 곰이(Gom) (Shiba inu)
  성별 : 여(female)
  생일 : 2015.07.01
  특징 : 노란털에 흰양말 시바견, 앙칼짐 
  별명 : 쪼꼬미 (쪼꼬만 꼼이)

  이름 : 탱이(Taeng) (Black tan Shiba inu)
  성별 : 남(male)
  생일 : 2015.03.13
  특징 : 검정털에 황금양말 시바견, 가슴에 드래곤, 듬직하지만 개엄살
  별명 : 귀탱이 (너무 귀여운 탱이)

이름 : 여우(Yeo woo) (White Shiba inu)
  성별 : 여(female)
  생일 : 2018.10.04
  특징 : 하얀 털에 귀,등,꼬리 콩고물 묻음, 시바 같지 않고 강아지 같은 성격 
  별명 : fox(북극여우), 흰또(흰색 돌+I)

Ending Song provided by 미무
https://www.youtube.com/channel/UCDIL26BCA9FveHwMUmUUe1w

곰탱이팬카페 : http://cafe.naver.com/welovepetfamily
곰탱스타그램 : https://www.instagram.com/shiba_gomtaeng
곰탱 페이스북 : https://www.facebook.com/ShibaGomTaeng/
----------------------------------------------------------------------",구독해주시바 시바견곰이탱이
두 번 죽을 수 있었던 남자.. 강아지 메리를 만나면서 바뀐 운명ㅣSurprising Story Of Dog ‘Mary’ Who Saved His Owner Two Times,/watch?v=hNCNo3Z5m8k,애니멀봐|동물농장|TV동물농장|동물농장 애니멀봐|애니멀봐 동물농장|sbs animal farm|sbs animal eng sub|sbs animal show|sbs animal farm 2020|animals|animal farm|tv animal farm|tv animal farm korean eng sub|tv animal farm eng sub|동물영상|재미있는 동물영상|sbs animal farm 2021|애니멀봐 강아지|주인구한강아지|주인구한동물|주인구한반려견|강아지 짖는 소리|강아지 소리|강아지 직감|주인살린개|강아지 입양|강아지 동영상|강아지 감동영상|dog feeding|dog sound|dog saved my life|a dog who saved a person's life|dog saves people's life|dog saves humans|dog saves lives,52746,https://i.ytimg.com/vi/hNCNo3Z5m8k/sddefault.jpg,SBS TV동물농장x애니멀봐,UC22go5LdQEw-iDuxFb4C0hw,2021-08-09,"산사태가 일어날 걸 미리 알고 주인을 구한 강아지 메리!
사실 메리가 아저씨의 목숨을 구한 게 이번이 처음이 아니라는데..
 


#집에서함께애니멀봐 #주인의목숨을구한개 #놀라운이야기
-------------------------------------------------
애니멀봐와 한배타고⛵
☞ https://goo.gl/WL9mGy

주인 목숨 구한 강아지 더 보기🐶
☞ https://youtu.be/02xsuAAZClg

아님 다른 동물 더 보고나서🐹
☞ https://youtu.be/V4BDWq2vrMA

[애니멀봐]와 베프되기
　페이스북: https://www.facebook.com/sbstvanimal
　인스타그램: https://www.instagram.com/sbsanimal
　트위터: https://twitter.com/sbsyang

-------------------------------------------------
[Credit Music♪]
ㆍMusic provided by 브금대통령
　- 마음이 영그는 계절 (https://bit.ly/3lLC8BM)",주인구한반려견 주인의목숨을구한개
말 잘 듣는 강아지!,/watch?v=veeTtNXNZ3E,게임|스트리머|트위치|방송,39989,https://i.ytimg.com/vi/veeTtNXNZ3E/sddefault.jpg,끠끼,UCm8zVSs713MmZ41X4Z_fP_Q,2021-08-09,"구독과 좋아요 한번씩 눌러주시면 감사합니다(◍•▽•◍)♡
-------------------------------------------------------------------------------------------
▶ 끠끼 생방송 : https://www.twitch.tv/kuiki771/about
트위치 생방송에서는 라디오와 여러 게임들을 해요!
매일 열심히 하구 있어요! 놀러와주세요!
-------------------------------------------------------------------------------------------
▶ 끠끼 트위치 : https://www.twitch.tv/kuiki771/about
▶ 끠끼 후원하기 : https://twip.kr/donate/kuiki771
▶ E-mail : rmlrl_@naver.com
-------------------------------------------------------------------------------------------
Music provided by 브금대통령
Track : 꾸러기 표정 - https://youtu.be/4oLUBmAUvY8
Track : 멘붕 - https://youtu.be/dkHfLiG2654
Track : 우리 똥강아지 - https://youtu.be/bn-EJr_Bo4Y
Kevin MacLeod ~ Chee Zee Beach Latinesque
출처: http://incompetech.com/music/royalty-free/index.html?isrc=USUAN1100686
아티스트: http://incompetech.com/
Kevin MacLeod ~ Mr. Mealey's Mediocre Machine
출처 : https://incompetech.com/music/royalty-free/index.html?isrc=USUAN1100144
아티스트: http://incompetech.com/ 
Kevin MacLeod ~ Private Eye
출처 : https://incompetech.com/music/royalty-free/index.html?isrc=USUAN1100767
아티스트: http://incompetech.com/",생방송에서는 놀러와주세요
수술한 강아지 실밥 뽑는 날!!오랜만에 물속에 들어간 개의 반응은?! 😎,/watch?v=cSVjimYJk2Y,반려견|대형견|골든리트리버|멜로디맘|디디패밀리|혼혈아기|하이디|멜로디|미국 가족|미국 결혼|육아|아기 키우기|개 키우기|강아지 키우기|강아지|귀여운 아기|아기 모델|귀여운 강아지|큰 개|국제커플|국제부부|국제연애|귀여운 영상|강아지 수술|동물 병원|동물 농장,27828,https://i.ytimg.com/vi/cSVjimYJk2Y/sddefault.jpg,디디패밀리DeeDee Family,UCG3dFw4AE5BDK-9k_1IouFg,2021-08-09,"우리집 막내 감자 채널 🐶
https://www.youtube.com/channel/UCBys-ZwLghpHQJuDBaIvTew

❤️INSTAGRAM : @deedee_family http://www.instagram.com/deedee_family 
❤️BUSINESS : jeje8895@yahoo.com
❤️KAKAO TALK : jeje8895",혼혈아기 골든리트리버
"'척추' 없이 태어난 강아지, 안락사 직전 찾아온.. '기적'",/watch?v=cQBE4mFoKRU,동물|개감동|감동|반려견|강아지|구조|rescue|눈물|감동영상|학대|구조영상|동물구조|눈물영상|dog|puppy|척추강아지|척추개|척추기형|장애견|장애강아지,18411,https://i.ytimg.com/vi/cQBE4mFoKRU/sddefault.jpg,개감동이양,UCwAL-TkaUgVGPRjRdkzmkwA,2021-08-10,"미국에 사는 한 여성은 우연히 안락사 위기에 처한 강아지의 가슴 아픈 사연을 접하게 되는데...

🌍 해외에서 일어난 동물들의 감동 이야기를 전하는 개감동이양 🐾
구독 & 좋아요는 힘이 됩니다. 🔔알림은 필수!

* 영상 시청해 주셔서 감사드립니다. ^^
* 사람과 동물들이 사랑 속에서 행복하게 살아가는 세상을 꿈꾸며.",척추강아지 감사드립니다
흙을 좋아하는 강아지 점잖은 어미와 신바람 난 새끼,/watch?v=9JLZUlxPzDQ,진돗개|진도견|강아지|말복|복날|옻닭|육개장,16676,https://i.ytimg.com/vi/9JLZUlxPzDQ/hqdefault.jpg,자리이타,UCxQFzq-6xmm65zEyoo5JsIQ,2021-08-09,"오늘이 말복입니다. 이곳 산중에는 지금 배추를 심어야  김장배추로 자라날수 있습니다.
해탈이와 보리가 밭 갈이 하는 곳에 따라나와서 신나게 장난질을 합니다.
아이들이 흙을 참 좋아 합니다.",김장배추로 말복입니다
[아이즈원/사쿠라] 꾸라만 보면 짖는 강아지에 당황한 꾸라,/watch?v=6YgHX2aER3k,,10942,https://i.ytimg.com/vi/6YgHX2aER3k/sddefault.jpg,패러렐아이즈,UCiLH7eenoIE3hBwAa6IQfuw,2021-08-09,"IZ*ONE 에너지 캠 플러스(ENOZI Cam +) '싱글즈/OZINE 화보 촬영' 비하인드

#아이즈원 #사쿠라 #IZONE",아이즈원 비하인드
놀러가는줄 알았는데 병원가서 짜증난 강아지,/watch?v=OY670NmKMFE,강아지유튜브|사둥이네|푸들|강아지병원|토이푸들|다견가정|강아지예방접종|poodle|トイプードル|dogtv|プードル|반려견|반려동물|cutepuppy,11142,https://i.ytimg.com/vi/OY670NmKMFE/sddefault.jpg,사둥이네TV,UC8LPp9CiM5cCK22HgIgcOiA,2021-08-10,"#놀러가는줄알았다 #또속았다 #삐진강아지

영상 재미있게 봐주시고, 구독과 좋아요💖 알림설정🔔 까지 해주신다면...
정말 큰 힘이💪🏻될것 같아요🙈
사둥이들의 귀엽고, 재미있는 영상 많이 보여드릴 수 있게 많은 응원 부탁드려요🙏🏻

Instagram (👇🏻귀여운 모습 더 많이 볼 수 있어요☺)
http://www.instagram.com/hello_4dogs
     
★🐨호야(첫째) : 실버탄 토이푸들(2017.11.20)
★🐻자야(둘째) : 크림 토이푸들(2017.12.20)
★🐹백야(셋째) : 화이트 토이푸들(2018.1.6)
★🦊앤야(넷째) : 애프리콧 토이푸들(2020.2.14)

🎵Music provided by 브금대통령
🎵Track : 2019 Best 10 - https://youtu.be/vGw_pbH037E",부탁드려요 강아지유튜브
산책하고 목욕까지 한 강아지의 최후,/watch?v=OCJ4jY_uxGc,말티즈|강아지|maltese|puppy|dog|子犬|マルチーズ|귀여운 강아지|맹수꽁이|꽁이,11367,https://i.ytimg.com/vi/OCJ4jY_uxGc/sddefault.jpg,맹수꽁이 BeastGGong,UCHgL0Bj_iAEOheN9v3wLA2g,2021-08-10,"♥맹수꽁이 
https://www.instagram.com/beastggong
2019년 2월 26일
말티즈 여아

——————————————————————————————————
Track : 귀여운 BGM 모음
Music by 브금대통령 
Music provided by 브금대통령
Watch : https://youtu.be/hgNrf9QqAA0
——————————————————————————————————",산책하고 브금대통령
