src,dst,weight
],[,0.7455951571464539
],욕쟁이,0.44414469599723816
],앵무새,0.44130605459213257
],사이버,0.4117681086063385
],새치기,0.403440922498703
],전산,0.40028563141822815
],P5,0.39656808972358704
],톱스타,0.3932936489582062
],넷마블,0.3931567072868347
],아동급식카드,0.39064720273017883
[,],0.7455952167510986
[,욕쟁이,0.44032740592956543
[,앵무새,0.4343259632587433
[,사이버,0.4082850515842438
[,오류,0.4022078514099121
[,실험쥐,0.400494784116745
[,전산,0.39785945415496826
[,새치기,0.3928651809692383
[,아동급식카드,0.3912258744239807
[,치와와,0.3858320116996765
.,177,0.37773397564888
.,.22,0.3752236068248749
.,385,0.3751780688762665
.,1.5,0.3699478209018707
.,서류상 아빠,0.3684743344783783
.,TTT,0.3655644655227661
.,168,0.3638506233692169
.,리플레이 : 다시 시작되는 순간,0.3619811534881592
.,웹드라마,0.36082807183265686
.,놓지마정신줄,0.3600756525993347
),(,0.7215938568115234
),던디리던,0.4282798171043396
),Bon,0.417865514755249
),Wonstein,0.41582930088043213
),Basick,0.41447266936302185
),이채연,0.40986230969429016
),10월 16일,0.4053274691104889
),DAWN,0.4018704891204834
),SUGA,0.4018155634403229
),HER,0.40134623646736145
(,),0.7215938568115234
(,던디리던,0.4118857979774475
(,권정열,0.3919179141521454
(,B-side,0.3896929621696472
(,460,0.38933899998664856
(,DAWN,0.3862631022930145
(,Bon,0.38600102066993713
(,feat.,0.3849286437034607
(,2nd,0.38420164585113525
(,Sleep,0.3805701434612274
",",지호,0.40765565633773804
",",가을 아침,0.4063819646835327
",",승희,0.40388578176498413
",",손대지마,0.39741581678390503
",",삐삐,0.39464089274406433
",",Woodie Gochild,0.39445650577545166
",",HAON,0.3927690386772156
",",Blueming,0.39182165265083313
",",TRADE L,0.3901805579662323
",",아이사,0.3792479634284973
!,맷돌,0.3389359414577484
!,믹서기,0.32792600989341736
!,동양,0.320510596036911
!,아옳이,0.31970804929733276
!,수동,0.31878530979156494
!,이제부터,0.3166421353816986
!,모양,0.3137763440608978
!,현관문,0.31067517399787903
!,추임새,0.30785974860191345
!,팽이버섯,0.30536022782325745
',Dreamcatcher,0.4113561809062958
',Sketch,0.40188154578208923
',Bambi,0.39449813961982727
',Amoeba Culture,0.3898487985134125
',드림캐쳐,0.387185275554657
',루돌프,0.3851318359375
',3rd,0.3845817446708679
',AB6IX,0.38387084007263184
',펜타곤,0.3810828626155853
',Save,0.3772643506526947
는,하,0.4233669340610504
는,노가다,0.39351820945739746
는,무드등,0.39097923040390015
는,전혀,0.3909595012664795
는,한이재,0.37847238779067993
는,재혼,0.3776656687259674
는,설탕,0.3676835000514984
는,똑똑,0.3655613362789154
는,넘어가,0.3651524484157562
는,시던,0.3645021319389343
|,WandaVision,0.41617363691329956
|,CJ ENM,0.41446244716644287
|,셀러브리티,0.4067925810813904
|,Look,0.39018574357032776
|,1802,0.38421377539634705
|,523,0.3828207850456238
|,제모,0.3816923499107361
|,191,0.37965890765190125
|,러쉬,0.3773372769355774
|,502,0.37635424733161926
?,80년대,0.40372705459594727
?,스크럽,0.3823259174823761
?,다구,0.35854101181030273
?,헬,0.355647474527359
?,유지,0.34223368763923645
?,어떡해,0.340495228767395
?,방기,0.3365083336830139
?,사건의 전말,0.3352840542793274
?,도대체,0.3349631726741791
?,귀엽다,0.3296707570552826
/,한국경제TV,0.40462541580200195
/,YTN,0.3985348343849182
/,불백,0.39178866147994995
/,MTG,0.3824256360530853
/,연합뉴스TV,0.3818720877170563
/,앤트,0.37791913747787476
/,기사식당,0.37459421157836914
/,플러스,0.37377965450286865
/,머그,0.3724775016307831
/,UEL,0.37136340141296387
ㅆ,서우,0.473250150680542
ㅆ,습니다,0.451138973236084
ㅆ,주나,0.4505382180213928
ㅆ,빅히트,0.4337930381298065
ㅆ,Frozen,0.4269508719444275
ㅆ,해,0.42369192838668823
ㅆ,예방접종,0.4229723811149597
ㅆ,아귀,0.42295756936073303
ㅆ,화로,0.42118221521377563
ㅆ,MB,0.41876640915870667
ㄴ,50년,0.3490881323814392
ㄴ,인증샷,0.3475479185581207
ㄴ,무드등,0.3430272340774536
ㄴ,ㅡ,0.3428460359573364
ㄴ,정비,0.3345576524734497
ㄴ,흰둥이,0.33294862508773804
ㄴ,그마,0.33203551173210144
ㄴ,최악의세대,0.3316173255443573
ㄴ,큼,0.3309757709503174
ㄴ,거니,0.32826942205429077
이,전집,0.35096773505210876
이,동치미,0.3471737802028656
이,관심,0.34601083397865295
이,예전,0.34148532152175903
이,팁,0.33651086688041687
이,방식,0.33073094487190247
이,누르,0.3247249126434326
이,가래,0.32309797406196594
이,안조,0.3230823576450348
이,여학생,0.3207641541957855
-,Wannabe,0.398449569940567
-,펜타곤,0.3901948928833008
-,던디리던,0.38043513894081116
-,Music,0.37779557704925537
-,Ice Cream ,0.3745906949043274
-,251,0.37292560935020447
-,Selena Gomez,0.3727383613586426
-,YELLOW,0.37186622619628906
-,Epik High,0.37097182869911194
-,ASTRO,0.3636924922466278
을,셀프주유소,0.3625620901584625
을,짜가,0.3481824994087219
을,꽃등심,0.3467693626880646
을,상하,0.3378813564777374
을,노가다,0.3358663022518158
을,알수,0.3354697525501251
을,운동학,0.3346692621707916
을,지도자,0.3342936635017395
을,닐,0.332987904548645
을,이탈리아인,0.3307243883609772
